# index, name, Curso, Grupo, Sexo, prosocial, crttotal, _pos
281,1355,3,A,Female,0.666666666666667,3,"array([ 5.99322419, -1.16319734])"
282,1385,3,B,Female,0.666666666666667,1,"array([ 5.8958077 , -1.17510966])"
283,1438,3,D,Female,0.333333333333333,3,"array([ 5.95162189, -1.2233045 ])"
284,1480,3,E,Female,0.333333333333333,3,"array([ 5.89588221, -1.10592581])"
285,1080,1,D,Female,1.0,3,"array([ 5.98668893, -1.5233385 ])"
286,1358,3,A,Male,1.0,2,"array([ 6.07636955, -1.14996953])"
287,1399,3,B,Male,1.0,1,"array([ 6.03422396, -1.23106788])"
288,1330,2,D,Male,0.666666666666667,2,"array([ 5.94363127, -1.14021819])"
289,1259,2,B,Male,0.333333333333333,3,"array([ 5.80553609, -1.24730327])"
290,1446,3,D,Male,0.666666666666667,2,"array([ 6.03761545, -1.17413522])"
291,1445,3,D,Male,0.666666666666667,3,"array([ 5.95816046, -1.15511899])"
292,1454,3,D,Male,1.0,1,"array([ 6.01523037, -1.15594709])"
293,1453,3,D,Male,1.0,3,"array([ 6.01869932, -1.21565469])"
294,1436,3,D,Male,1.0,3,"array([ 5.9697275 , -1.22595164])"
295,1312,2,C,Male,1.0,3,"array([ 5.72124549, -1.30646675])"
296,1299,2,C,Female,0.666666666666667,2,"array([ 5.67949   , -1.26528574])"
297,1235,2,A,Female,1.0,3,"array([ 5.71547922, -1.17155508])"
298,1396,3,B,Female,0.666666666666667,1,"array([ 5.93010771, -1.09990933])"
299,1428,3,C,Male,0.666666666666667,3,"array([ 6.0228319 , -1.17351795])"
300,1352,3,A,Male,0.666666666666667,3,"array([ 6.109208  , -1.14135203])"
301,1362,3,A,Male,0.666666666666667,3,"array([ 6.07738879, -1.11235036])"
302,1356,3,A,Male,1.0,2,"array([ 6.0760147 , -1.13237245])"
303,1361,3,A,Female,1.0,2,"array([ 6.08715741, -1.09564035])"
304,1350,3,A,Female,1.0,3,"array([ 6.09479158, -1.11434601])"
